Date,City,Category,Behaviours,Prison rescue,Begging,Factory visiting,Target,Public/Private,People/Property,People targeted in their homes?,Specific individuals targeted?,Locations,Start point,Latitude,Longitude,Space,Place,Starting Place,Type of space,Industrial,Duration,First day,Time,Working hours (7-7),monthyear,year,month,Weekday,Special date
1881 - May 14,Glasgow,Misc,Saturday night riot in Garscube road,0,0,0,"Locals
",Public,People,No,No,Garscube Road,"Garscube Road, Glasgow, UK",55.8752332,-4.2631227,Street,,Street,Streets and fields,No,Hours,1881-05-14,Night,N,1881-05,1881,May,Saturday,No
1882 - January 18,Glasgow,Misc (Reformatory/Prison),"Destruction of dining hall. Throwing boots at Govenor, broke all windows and crockery in the dining hall and kitchen. Threw missiles out of window at the police. three of the boys re-arrested at Paisley.",0,0,0,"Furniture, police
",Public,Both,No,No,Duke Street Reformatory,"Duke Street Reformatory, Glasgow, UK",55.858663,-4.226285,Reformatory,Duke Street Reformatory,Reformatory,Reformatory,No,Hours,1882-01-18,8-9pm,N,1882-01,1882,January,Wednesday,No
1886 - April 11,Glasgow,Identity,Bands parading. Stones bottles and missiles. Hand to hand fighting. Shop windows and lamps smashed.,0,0,0,Orange vs Catholic bands,Public,Both,No,No,Clydebank and Yorker,"Clydebank and Yorker, Glasgow, UK",55.88958,-4.381554,Street,,Street,Streets and fields,No,Hours,1886-04-11,4pm till 8pm,Y,1886-04,1886,April,Sunday,No
1888 - September 17,Glasgow,Economic/Misc (Anti-police),"Irish Orange strike breakers from Belfast. Staying at lodging house on Maxwellton Place they were swearing shouting quarrelling. Windows being thrown onto the street. Constables came into house and were attacked - had things thrown down the stairs at them, stair railings pulled up. Prisoners all quite drunk. Furniture broken up to throw. 11pm-12am",0,0,0,"Lodging house inside, police",Public,Both,No,No,Maxwellton Place,"Maxwellton Place, Glasgow, UK",NA,NA,Lodging house,,Lodging house,Lodging house,No,Hours,1888-09-17,Night,N,1888-09,1888,September,Monday,No
1889 - June 17,Glasgow,Economic,Pickets attacking workerss they were sent into the sheds in uniform. 100 strikers attacking cab which was to transport the workers.  Manager came down as was attacked. Attacked and robbed respectably dressed man on Maxwell Street.  Try to rescue prisoners,1,0,0,"Strike breakers, managers, police",Public,Both,No,"Manager, respectably dressed man","Great Clyde Street offices, docks","Great Clyde Street, Glasgow, UK",55.8550224,-4.2522659,Docks,,Docks,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1889-06-17,6am and 6pm (open and close of docks),Y,1889-06,1889,June,Monday,No
1889 - November 21,Glasgow,Misc (Students),Siege of Randolph Hall after graduation of students. Trying to get in,0,0,0,Hall and officials,Public,Property,No,No,Randolph Hall,"Randolph Hall, Glasgow, UK",55.8721211,-4.2882005,Meeting,Randolph Hall,Meeting,Meeting Hall,No,Hours,1889-11-21,Afternoon,Y,1889-11,1889,November,Thursday,Graduation
1890 - July 26,Glasgow,Identity,Saturday night. Usual discussions being held there between catholics and protestants. Argument turned into quarrel into fight which brought more people in. Stone throwing and fighting.,0,0,0,Catholics vs Protestants,Public,People,No,No,Cathedrale Square,"Cathedrale Square, Glasgow, UK",55.8616894,-4.2352805,Street,Cathedrale Square,Street,Streets and fields,No,Hours,1890-07-26,8:00 pm,N,1890-07,1890,July,Saturday,No
1890 - December 29 & 30,Glasgow,Economic,"Railway strike. 9pm crowd of pickets and sympathisers, threw bricks at cab and attacked those inside (""blacklegs""). Attackers did not appear to be railway men but instead iron or steel workers. Windows of signal box and men's dorm smashed. Stoning police",0,0,0,"Blacklegs, police, signal box",Public,Both,No,No,Polmadie,"Polmadie, Glasgow, UK",55.833422,-4.2495989,Street,,Street,Streets and fields,Yes,Hours,1890-12-29,"9pm all through the night, 3-4am following moringin",N,1890-12,1890,December,Monday,No
1894 - August 22,Glasgow,Economic,they smashed windows of pumping engine and winding engine houses. Thre hutches down the shaft doing large damage. Avoided police and the blacklegs themselves. And stoned manager's house,0,0,0,"Equipment, manager's house, buildings/offices",Both,Property,Yes,Managerâ€™s house,Baillieston,"Baillieston, Glasgow, UK",55.8512984,-4.1159939,Colliery,,Colliery,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1894-08-22,10pm till pit opened at 3am,N,1894-08,1894,August,Wednesday,No
1894 - October 15 & 16,Glasgow,Economic,Fight in Govanhill between unionists and free labourers. The managers who had been providing the free labourers were also attacked and severly beaten. Picketers invaded a shed in Carfin Street. 40-60 picketers,0,0,0,"Strikebreakers, managers, sheds",Public,Both,No,Managers,"Pollock Road, Carfin Road","Pollock Road, Glasgow, UK",55.827412,-4.289415,Work site,,Work site,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1894-10-15,5:00 pm,Y,1894-10,1894,October,Monday,No
1896 - August 22,Glasgow,Identity,"Minor band disturbances, bottles thrown",0,0,0,"Rival bands
",Public,People,No,No,"St Rollox, Garngad","St Rollox, Glasgow, UK",55.8735508,-4.2327655,Street,,Street,Streets and fields,No,Hours,1896-08-22,Night,N,1896-08,1896,August,Saturday,No
1896 - September 30,Glasgow,Misc (Students),"Torchlit processin with very large following crowd. Charring Cross at 7.30pm built huge bonfire. Then went to Skating Palace (a music hall in Sauchiehall Street) and crowd of 2,000 tried to get in, they were refused, became restive, had fire hose turned on them, then decided to attack the building with sticks stones and groceries from greengrocers shop nearby.",0,0,0,Music Hall,Public,Property,No,No,Sauchiehall Street,"Sauchiehall Street, Glasgow, UK",55.8662965,-4.2720182,Skating Hall,,Skating Hall,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1896-09-30,7-8pm,N,1896-09,1896,September,Wednesday,No
1908 - September 6,Glasgow,Economic,1pm crowd of several thousand in Cathedrale Square. Church bells calling to worship. Unemployed made a rush for the cathedrale. Police lines broken but crowd unable to force the gates. Baton charge cleared the square. Follow on from storming of municipal buildings. Charge lef by EC who formed up inside rest of crowd in double file. ,0,0,0,"Police, Glasgow Cathedrale",Public,Property,No,No,Cathedrale Square,"Cathedrale Square, Glasgow, UK",55.8616894,-4.2352805,Open air meeting,Cathedrale Square,Open air meeting,Streets and fields,Yes,Hours,06/09/1908,1:00 pm,Y,1908-09,1908,September,Sunday,No
1909 - February 17,Glasgow,Political,Socialist speaker at West Regent Street (in-doors) meeting. Many interruptions from crowd. Attempt to take a heckler out of meeting leads to brawl. Fierce fighting between socialist hecklers and rest of audience. ,0,0,0,"Rival political parties
",Public,People,No,No,West Regent Street,"West Regent Street, Glasgow, UK",55.863607,-4.2607909,Meeting,,Meeting,Meeting Hall,No,Minutes,17/02/1909,Evening,N,1909-02,1909,February,Wednesday,No
1909 - April 17,Glasgow,Misc (Sports),"Football riot after draw in final. Attack on stadium, infrastructure, police, arson, stoning",0,0,0,"Stadium, infrastructure, police, firemen",Public,Both,No,No,Hampden Park,"Hampden Park, Glasgow, UK",55.8258422,-4.2520476,Football ground,Hampden Park,Football ground,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,17/04/1909,5:00 pm,Y,1909-04,1909,April,Saturday,Cup final
1909 - November 11,Glasgow,Misc (Students),"Thrwoing piecemeal, tomatoes, potatoes etc. Juvenal prank",0,0,0,Stage,Public,People,No,No,Coliseum Theatre,"Coliseum Theatre, Glasgow, UK",55.850777,-4.259556,Theatre,Coliseum Theatre,Theatre,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,11/11/1909,Evening,N,1909-11,1909,November,Thursday,No
1911 - July 3 & 4,Glasgow,Economic,"Sailor's strike, dock workers out in solidarity. Looking for scabs. fighting with police, invading sheds",0,0,1,"Scabs, police, dock sheds",Public,Both,No,No,"Finnieston Ferry, Broomielaw, Jamaica Bridge. Customhouse Quay. CLyde Shipping Co Berths. Springfield and Anderston Quay.","Finnieston Ferry, Glasgow, UK",55.857358,-4.278707,Docks,,Docks,"Workplaces (factory, workshops, docks etc)",Yes,Days,03/07/1911,Morning and again in Evening (open and close of sheds),Y,1911-07,1911,July,Monday,No
1911 - August 12 & 13,Glasgow,Economic,"Pickets at depots across Glasgow and surrounding towns. Holding up cabs with 'blacklegs', fighting police, smashing windows of cars, derailing others, taking possession of the handles used by motor men so that cars could no be used. Gang of youths in London Road saturday night smashing car windows (they were not part of the strike), derailed moving car. Threw stones at police station in St Andrews Square. Strikers marching in processional order. ",0,0,0,"Tram depots, strikebreakers, police, tram cars",Public,Both,No,No,"Bridgeton, Partick and Paisley Road. Kinning Park depot. Renfield Street. London Road and Ruby Street. Glasgow Cross. St Andrew's Square. Argyle Street. Shawlands Cross. Glasgow Green","Bridgeton, Glasgow, UK",55.846439,-4.215995,Tram depots,,Tram depots,"Workplaces (factory, workshops, docks etc)",Yes,Days,12/08/1911,From 3am till late at night,N,1911-08,1911,August,Saturday,No
1912 - February 8 & 9,Glasgow,Economic,Dock strike. Attacking sheds to stop work. Looking for strikebreakers. Waiting for scabs to finish to attack them. Fighting police. Turning back lorries. Preventing unloading of boats. Mass meetings,0,0,0,"Strikebreakers, police, dock sheds",Public,Both,No,No,"Plantation Quay, Prince's dock, Springfield Quay, Broomielaw. Argyle Street.","Plantation Quay, Glasgow, UK",55.858156,-4.292987,Docks,,Docks,"Workplaces (factory, workshops, docks etc)",Yes,Days,08/02/1912,11.30am and again at close (6pm),Y,1912-02,1912,February,Thursday,No
1914 - March 9,Glasgow,Political,Police storm stage to arrest Ms Pankhurst at suffrage demo. Hand to hand fighting with bludgeons and sticks,0,0,0,Police,Public,People,No,No,St Andrew's Hall,"St Andrew's Hall, Glasgow, UK",55.864965,-4.272251,Meeting,St Andrewâ€™s Hall,Meeting,Meeting Hall,No,Hours,09/03/1914,Evening,N,1914-03,1914,March,Monday,No
1916 - September 10,Glasgow,Misc (Gangs),"Crowd of 50 lads assaulted others with bottles, bolts and other weapons. Accused of being ""Bell-on"" gang and ""Redskins"" gangs respectively.",0,0,0,Rival gangs,Public,People,No,No,Bridgeton,"Bridgeton, Glasgow, UK",55.846439,-4.215995,Street,,Street,Streets and fields,No,Hours,10/09/1916,Night,N,1916-09,1916,September,Sunday,No
1919 - January 23,Glasgow,Identity,Race riot. White and black sailors fighting at the office. 30 arrests (all black),0,0,0,White vs black sailors,Public,People,No,No,Broomielaw,"Broomielaw, Glasgow, UK",55.8568045,-4.263099,Shipping office,,Shipping office,"Workplaces (factory, workshops, docks etc)",No,Hours,23/01/1919,3.30pm,Y,1919-01,1919,January,Thursday,No
1919 - January 31,Glasgow,Economic,"Mass meeting afte gov decided not to intervene in 40-hour week demands. Baton charges, missiles thrown. George Square and then on Glasgow Green. Shop looting, two dozen tram cars put out of use, 30 injured. Some loyal trade unionsts tred to organise anti-strike demonstration. Singin ""Red Flag"", huge crowd spilling out of George Square. Lying down in front of tramcars and pulling off the trolleys. 2-300 young men and youths raided a beer shop and dragged out cases of bottles, some of the bottles were trained and then empties collected and distributed as ammunition. Boxes stretched across the road to form a barricade and rioters began to shout defiance at police 50 yards away.Groups proceeding in order with banners.",0,0,0,"Police, shops, tramcars",Public,Both,No,No,"George Square. Glasgow Green, Jail Square, East Clyde Street, Paisley Road, Renfield Street, Argyle Street, Queen Street, South Side","George Square, Glasgow, UK",55.861152,-4.2501962,Open air meeting,George Square,Open air meeting,Streets and fields,No,Hours,31/01/1919,Begins at noon,Y,1919-01,1919,January,Friday,No
1920 - April 27,Glasgow,Identity/Political,Sinn Fein demo. fighting with police. Callingon workers to down tools. Man arrested - signal for stone throwing. Lasted three hours.,0,0,0,Police,Public,People,No,No,"George Square, Glasgow Green","George Square, Glasgow, UK",55.861152,-4.2501962,Open air meeting,George Square,Open air meeting,Streets and fields,No,Hours,27/04/1920,3:00 pm,Y,1920-04,1920,April,Tuesday,No
1920 - May 29,Glasgow,Misc (Anti-police),"Large assembly, as usual, in evening to listen to political speeches of all kinds in Jail Square. Two men quarrelled and went to Crowd street end of Albert Bridge to fight it out. Followed by scores of young fellows. Two police tried to separate them and were roughly handled. One held over barrers of the bridge. Civilians came to their rescue. Reinforcements arrived which angered crowd (900-1000) who attacked police, kicking and trampling on those who fell over. Sinn Fien slogans shouted. Stones thrown. Crowd also fighting each other. Same night saw crowd in Clydebank (on Glasgow Road) attack officers",1,0,0,Police,Public,People,No,No,"Crown Street, Albert Bridge","Crown Street, Glasgow, UK",55.8487512,-4.2507434,Street,,Street,Streets and fields,No,Hours,29/05/1920,9-10pm,N,1920-05,1920,May,Saturday,No
1922 - September 13,Glasgow,Misc,Ships carpenter was battered to death by a mob under mistaken impression that he was kidnapping a little boy,0,0,0,Suspected child kidnapper,Public,People,No,Suspected child kidnapper,??,??,NA,NA,Street,,Streetr,Streets and fields,No,Minutes,13/09/1922,??,,1922-09,1922,September,Wednesday,No
1922 - September 20,Glasgow,Economic,"Police interfered in demo to encourage public to boycott a picture house in Breadalbane Street which had refused to allow them to host a meeting of the unemployed there. Marching around cinema, attacking police",0,0,0,Police,Public,People,No,No,"Breadalbane Street, Finnieston","Breadalbane Street Finnieston, Glasgow, UK",55.8633218,-4.2782038,Cinema,,Cinema,"Places of leisure (pubs, theatres, football grounds etc)",Yes,Hours,20/09/1922,Night,N,1922-09,1922,September,Wednesday,No
1925 - May 16,Glasgow,Identity/Misc,Indian silkweaver beaten to death in own home.,0,0,0,Indian man,Private,People,Yes,Indian man,"Water Street, Port Dundas","Water Street, Glasgow, UK",55.87007,-4.256066,House,,House,Home,No,Hours,16/05/1925,10.30pm,N,1925-05,1925,May,Saturday,No
1925 - July 11,Glasgow,Identity,"48,000 orange men women and children on march through east end of the city. fights at Shettleston, Parkhead, Abercromby street and Stevenson street. Bottles, stones, batons and instruments thrown. Prompt intervention by police limited unrest. Evening disorder (12am) fight in Garngad. Unrest happened on return leg of march. Green flags flown from every window of Irish tennemants. Bottles aimed at the banners. Windows smashed by missiles in Garngab. Windows of houses in Cobden street smashed occupants retaliated and injured someonm leading for futher conflict on turner street and Garngad road. Someone shot. Attack made on Emerald Hall, Turner Street.",1,0,0,Orange vs Irish,Both,Both,Yes,Irish,"Shettleston (Parkhead, Abercromby Street, Stevenson Street). Garngad (Cobden Street, Turner Street, Garngad Road), Springburn Road, Annick Street","Shettleston , Glasgow, UK",55.851477,-4.160531,Street (procession),,Street (procession),Streets and fields,No,Hours,11/07/1925,Afternoon and into evening,Y,1925-07,1925,July,Saturday,12th July
1926 - May 5 to 10,Glasgow,Economic/Political,Attacking police and buses. Looting shops and pubs. Pickets at tram depots. Trying to rush the sheds. Baton charges,0,0,0,"Trams, buses, police, shops/pubs",Public,Both,No,No,"Johnstone and Renfrew roads. East End. Northern district, Hope street. Ruby Street. East End. Bridgeton. Cumberland and Crown streets.","Johnstone Road, Glasgow, UK",NA,NA,"Streets, tram depots, pubs, shops",,Depots and trams,"Workplaces (factory, workshops, docks etc)",Yes,Days,05/05/1926,All day and all night,Y,1926-05,1926,May,Wednesday,May Day?
1926 - July 10,Glasgow,Identity,Disturbances in East End on saturday evening following return of lodges from Dalry. Many conflicts in Bridgeton. Newhall street attempt to break through the procession itself. All kinds of weapons and missiles deployed (hammers hatchets bottles piping etc). Throwing bottles through windows. Man arrested and attempted rescue.. ,1,0,0,Orange parade,Public,Both,No,No,Newhall Street. Bridgeton,"Newhall Street Bridgeton, Glasgow, UK",55.8426205,-4.2278283,Street (procession),,Street (procession),Streets and fields,No,Hours,10/07/1926,11pm (a few disturbances in day),N,1926-07,1926,July,Saturday,12th July
1927 - October 8,Glasgow,Misc (Gangs),Gang fight at Hampden after Glasgow Cup Final. Fighting those wearing opposing colours. Other spectators stampeding to escape the fighting.  Scene repeated following season at Broomloan Road and 8 years later on Broomloan Road again.,0,0,0,Rival gangs,Public,Both,No,No,Hampden Park,"Hampden Park, Glasgow, UK",55.8258422,-4.2520476,Football ground,Hampden Park,Football ground,"Places of leisure (pubs, theatres, football grounds etc)",No,Minutes,08/10/1927,Night,N,1927-10,1927,October,Saturday,Cup final
1928 - March 3,Glasgow,Misc (Gangs),Bottles thrown and police used batons to clear the room. 10pm. Trouble arose out of a football dispute. Three men conducted to a side room and locked in there. Rest of crowd then tried to get at them - smashing through the door panels,0,0,0,Rival gangs,Public,Both,No,No,"Gaiety Theatre, Argyle Street","Gaiety Theatre Argyle Street, Glasgow, UK",55.861726,-4.273845,Theatre,Gaiety Theatre,Theatre,"Places of leisure (pubs, theatres, football grounds etc)",No,Minutes,03/03/1928,10:00 pm,N,1928-03,1928,March,Saturday,No
1928 - July 7,Glasgow,Identity,"Orange Parade 20-30,000. Unrest on way back home. First unrest around Glasgow Cross. Bottles thrown at band started it. Police quickly put unrest down. Young women started unrest in London Road near Kent Street. Band marching home (Anderston Cross) attacked. Minor skirmishes throughout the night.",0,0,0,Orange vs Catholic,Public,Both,No,No,Glasgow Cross. London Road (Kent Street). Anderston Cross,"Glasgow Cross, Glasgow, UK",55.856773,-4.244929,Street (procession),,Street (procession),Streets and fields,No,Hours,07/07/1928,All day,Y,1928-07,1928,July,Saturday,12th July
1929 - January 8,Glasgow,Political,17 arrests at Labour Party meeting. Free fights between rival factions. Shouting down speakers. Free fights. Singing Communist songs,0,0,0,Rival political faction,Public,People,No,No,Shettleston Public Hall,"Shettleston Public Hall, Glasgow, UK",55.849116,-4.175311,Meeting,Shettleston Public Hall,Meeting,Meeting Hall,No,Minutes,08/01/1929,Evening,N,1929-01,1929,January,Tuesday,No
1930 - April 16,Glasgow,Identity,"a group of 40 to 50 Billy Boys paraded through the Gorbals carrying banners, flags and a replica of the Scottish Cup on their way back from a match. Their presence attracted the attention of the, predominantly Catholic, South Side Stickers, resulting in a violent confrontation between the two gangs",0,0,0,Catholic vs Protestant,Public,People,No,No,"Gorbals, Crown Street","Crown Street Gorbals, Glasgow, UK",55.8487512,-4.2507434,Street (procession),,Street (procession),Streets and fields,No,Hours,16/04/1930,5:00 pm,N,1930-04,1930,April,Wednesday,No
1930 - June 8,Glasgow,Misc (Anti-police),Sunday morning fight with police in South Side. two constables arrested someone and were taking him to office when large crowd attacked them.,1,0,0,"Police
",Public,People,No,No,Crown Street,"Crown Street, Glasgow, UK",55.8487512,-4.2507434,Street,,Street,Streets and fields,No,Hours,08/06/1930,Morning,Y,1930-06,1930,June,Sunday,No
1931 - September 20,Glasgow,Political,"Oswald Mosley's open air meeting on Glasgow Green (15-40,000 in attendance). His speech frequently interrupted and when he attempted to leave stage was attacked with sticks and stones and attempt to stampede over the platform. Police escort required. Singing Red Flag",0,0,0,Oswald Mosley's facists,Public,People,No,No,Glasgow Green,"Glasgow Green, Glasgow, UK",55.8487031,-4.2350712,Open air meeting,Glasgow Green,Open air meeting,Streets and fields,No,Hours,20/09/1931,??,,1931-09,1931,September,Sunday,No
1931 - October 1 & 2,Glasgow,Economic/Misc,NUWM march is charged by police. Sparks two nights of rioting. Looting shops. Smashing windows. Fighting police. Mass meetings. Unemployed marching around in large numbers. Youths taking advantage of police being busy in centre of town. Stoning etc.,0,0,0,Shops. Police,Public,Both,No,No,"Glasgow Green, Saltmarket, Jocelyn Square, Garngad Street, Jail Square, Glasgow Cross, Argyle Street, London Road, Gallowgate and High Street, Cowcaddens Row, Argyle Street. Charlotte Street","Glasgow Green, Glasgow, UK",55.8487031,-4.2350712,Open air meeting,Glasgow Green,Open air meeting,Streets and fields,No,Days,01/10/1931,Night,N,1931-10,1931,October,Thursday,No
1932 - January 18,Glasgow,Economic/Political,"Trial of leaders arrested for protest in October last year (see above) saw crowd of 2,000 gather outside with banners, chanting and marching round the building, singing to music of accompanying flute band. Constables injured by heavy pieces of wood",0,0,0,Police. Trial,Public,People,No,No,Magistrates Court and George Square,??,NA,NA,Streest,Masgistrates Court,Street,Streets and fields,No,Hours,18/01/1932,?? Day presumably,Y,1932-01,1932,January,Monday,No
1932 - April 23-25th,Glasgow,Misc (Reformatory/Prison),Attempt to raid the provision sheds. Next morning accosted a warden,0,0,0,Prison staff and sheds,Public,Both,No,Warden,Barlinnie Prison,"Barlinnie Prison, Glasgow, UK",55.8697158,-4.1844905,Prison,Barlinnie Prison,Prison,Prison,No,Days,23/04/1932,Day,Y,1932-04,1932,April,Saturday,No
1932 - December 22,Glasgow,Economic/Misc (Anti-police),Plain clothes mingling with the crowd who resented their presence and were attacked. Baton and mounted charge cleared lines. Later on NUWM group tried to break cordon in George Square and gain admitance to meeting of Glasgow Corporation. Missiles thrown at police,0,0,0,Police,Public,People,No,No,"Glasgow Green, Saltmarket, George Square","Glasgow Green, Glasgow, UK",55.8487031,-4.2350712,Open air meeting,Glasgow Green,Open air meeting,Streets and fields,No,Hours,22/12/1932,4:00 pm,Y,1932-12,1932,December,Thursday,No
1933 - April 30,Glasgow,Identity,60-70 young men charged with fighting in Baltic Street. Throwing missiles and bottles.,0,0,0,Rival gangs,Public,Both,No,No,"Baltic Street, Glasgow, UK","Baltic Street, Glasgow, UK",55.8438979,-4.2156621,Street,,Street,Streets and fields,No,Hours,30/04/1933,Day time and evening (separate incidents),Y,1933-04,1933,April,Sunday,No
1933 - May 7,Glasgow,Misc (Gangs),"Orange flute Band on Cathedrale Street surrounded by hostile crowd hurling bottles, sticks, bricks and hammers.",0,0,0,Orange vs Catholics,Public,People,No,No,Cathedrale Square,"Cathedrale Square, Glasgow, UK",55.8616894,-4.2352805,Street,Cathedrale Square,Street,Streets and fields,No,Hours,07/05/1933,??,,1933-05,1933,May,Sunday,No
1934 - March 3,Glasgow,Misc (Gangs),"Bridgeton Cross Station: Celtic vs Rangers fans fighting, 40-50 men waiting for train to Ibrox Park, as it pulled in they got out weapons (hatchets, hammers and knives) and made attack upon Celtic supporters inside it",0,0,0,Rival gangs,Public,Both,No,No,"Bridgeton Cross Station, Glasgow, UK","Bridgeton Cross Station, Glasgow, UK",55.8489544,-4.2260601,Street,,Street,Streets and fields,No,Hours,03/03/1934,Day time and evening (separate incidents),Y,1934-03,1933,March,Saturday,No
1934 - March 3,Glasgow,Misc (Gangs),"Resumption of gang warfare in Glasgow. Man fatally wounded in dance hall. Another broad daylight attack made on train in city station where man was stabbed. Dance hall in Kelly Street 20 young men forced their way into the hall and engaged in fight with sevearl dancers, they were armed with bottles razors and other weapons. Chairs hurled about.",0,0,0,Rival gangs,Public,Both,No,No,"Kelly Street, Glasgow, UK","Kelly Street, Glasgow, UK",NA,NA,Street,,Street,Streets and fields,No,Hours,03/03/1934,Daytime 2pm,Y,1934-03,1934,March,Saturday,No
1934 - May 26 & 27,Glasgow,Identity/Misc (Anti-police),"Three separate incidents. Most serious was religious sectarian clash in Bridgeton: bayonettes hammers and razors used freely. Culmination of series of minor disturbances during the day when two religious processions met in Old Dalmarnock Road. Castle Street: fracas between two rival gangs. police intervene, crowd scatter but as they disperse come across two police with a prisoner, they try to rescue prisoner, fighting and missiles thrown. Garngad disturbances after man arrested. Constables attacked by crowd, rescue attempt. Shop window smashed and looting.",0,0,0,Orange vs Catholics. Police. Rival Gangs,Public,Both,No,No,"Old Dalmarnock Road, Castle Street (North Glasgow, Anderston). Garngad Road","Old Dalmarnock Road, Glasgow, UK",55.8452826,-4.2215824,Street (procession),,Street (procession),Streets and fields,No,Hours,26/05/1934,Day escalated into evening and following night,Y,1934-05,1934,May,Saturday,No
1934 - May 26 & 27,Glasgow,Identity/Misc (Anti-police),"Three separate incidents. Most serious was religious sectarian clash in Bridgeton: bayonettes hammers and razors used freely. Culmination of series of minor disturbances during the day when two religious processions met in Old Dalmarnock Road. Castle Street: fracas between two rival gangs. police intervene, crowd scatter but as they disperse come across two police with a prisoner, they try to rescue prisoner, fighting and missiles thrown. Garngad disturbances after man arrested. Constables attacked by crowd, rescue attempt. Shop window smashed and looting.",1,0,0,Orange vs Catholics. Police. Rival Gangs,Public,Both,No,No,"Garngad Road, Glasgow, UK","Garngad Road, Glasgow, UK",55.8698742,-4.2301281,"Street, shops",,"Street, shops",Streets and fields,No,Hours,26/05/1934,Day escalated into evening and following night,Y,1934-05,1934,May,Saturday,No
1934 - December 22,Glasgow,Misc (Reformatory/Prison),Comtinuation of similar demo made day before. Windows smashed and wardens assaulted. Tried to get into tobacco store.,0,0,0,wardens. Prison sheds,Public,Both,No,No,Barlinnie Prison,"Barlinnie Prison, Glasgow, UK",55.8697158,-4.1844905,Prison,Barlinnie Prison,Prison,Prison,No,Hours,22/12/1934,Day,Y,1934-12,1934,December,Saturday,No
1935 - May 4,Glasgow,Misc (Anti-police),"Arrested for breach of peace in Garscube Road.  Crowd of men resented this and surrounded the policemen. Missiles thrown at police, windows smashed, quickly quashed with reinforcements",1,0,0,Police,Public,People,No,No,Garscube Road,"Garscube Road, Glasgow, UK",55.8752332,-4.2631227,Street,,Street,Streets and fields,No,Days,04/05/1935,Night,N,1935-05,1935,May,Saturday,No
1935 - July 8,Glasgow,Identity,Orange parade ends in violence. Fights with returning Orangers. The most serious outbreak occurred in the Gorbals district following on the arrest of two young men. An attack was made upon the police. Stabbings,0,0,0,Police. Orange vs Catholic,Public,People,No,No,Gorbals (and rest of city),"Gorbals, Glasgow, UK",55.8480524,-4.2476683,Street (procession),,Street (procession),Streets and fields,No,Hours,08/07/1935,Night,N,1935-07,1935,July,Monday,No
1938 - March,Glasgow,Misc (sports),"The following year, a full-scale gang fight between two hundred men broke out as Celtic supporters entered Bridgeton. Police found thirty-year-old Hugh Fanally from the Gorbals lying on the pavement with severe head injuries",0,0,0,Celtic vs Rangers,Public,People,No,No,Bridgeton,"Bridgeton, Glasgow, UK",55.846439,-4.215995,Street,,Street,Streets and fields,No,Minutes,NA,??,,1938-03,1938,March,NA,No
1939 - July,Glasgow,Misc (Anti-police)/ Gangs,"Fight as Beehive Boys and South Side Stickers joined forced to attack the police who were escorting two prisoners. Hundreds of locals arrived and stoned the olice, smashed shop windows (police had to prevent looting). Baton charge",1,0,0,Police. Shops,Public,Both,No,No,??,??,NA,NA,Street,,Street,Streets and fields,No,Hours,NA,??,,1939-07,1939,July,NA,No
1802 - July 12,Liverpool,Political,"Shot two men at election
'mob' trampled to death the shooters",0,0,0,Election mobs,Public,People,No,No,??,??,NA,NA,??,,??,??,No,??,1802-07-12,??,,1802-07,1802,July,Monday,Election
1809 - June 27 & 28,Liverpool,Misc (press gang),"Formed a mob and went down to the Press Gang's rendez-vous house in search of tha gang. Didn't find them so attacked other people in the house (destroying furniture and windows). Eventually dispersed by magistrates and police
On Wednesday evening assembled again and destroyed the inside of five rendez-vous houses, ripped open the beds and threw feathers in the street. Police arrive and arrest some ringleaders but on their way to the Bridewell they were assaulted by mob who rescued the prisoners and attacked policeman with knife (slit his throat). Dispersed by local militia",1,0,0,Rendez-vous houses. Press gang. Police,Public,Both,No,Press gang,Strand Street and Bird Street,"Strand Street, Liverpool, UK",53.4023474,-2.9900876,Rendez vous house,Rendez vous house,Rendez vous house,Rendez vous house,No,Days,1809-06-27,Evening,N,1809-06,1809,June,Tuesday,No
1809 - July 4,Liverpool,Identity,"Group of American seamen celebrating Independence Day are deemed to have disrespected the British Flag so crowd attack seamen, pulling down the American Flag when and where they could. Battle to defend the flags. Eventually dispersed by military",0,0,0,American seamen,Public,Both,No,No,Docks,"Docks, Liverpool, UK",53.4001431,-2.9939858,Docks,,Docks,"Workplaces (factory, workshops, docks etc)",No,Minutes,1809-07-04,??,,1809-07,1809,July,Tuesday,USA Independence Day
1810 - May,Liverpool,Misc,Half-price riots which began in London and spread round country (enforced lowering of prices),0,0,0,Theatre,Public,??,No,No,The Liverpool Theatre,"The Liverpool Theatre, Liverpool, UK",53.408834,-2.978297,Theatre,Liverpool Theatre,Theatre,"Places of leisure (pubs, theatres, football grounds etc)",No,??,NA,Evening,N,1810-05,1810,May,NA,No
