name,type of protest,broad type,colour,description of place,type of place,date,day,time,address,place,latitude,longitude,attendance,source,links and further info
proclamation of George IV,,patriotic,blu_circle,St. Ann's Square,square,05-Feb-1820,,,St. Ann's Square,Manchester,53.4814,-2.245813,,"diaries of Absalom Watkin, p. 44",
king's birthday procession,,patriotic,blu_circle,St. Ann's Square,square,28-May-1832,,,St. Ann's Square,Manchester,53.4814,-2.245813,,M9/61/1/2,
hustings,,election,ltblu_circle,St. Ann's Square,square,13-Dec-1832,Wednesday,,St. Ann's Square,Manchester,53.4814,-2.245813,,"Manchester Chronicle, 15 Dec 1832",
Orange procession,,Orange,orange_square,St. Ann's Square,square,12-Jul-1834,Sunday,,St. Ann's Square,Manchester,53.4814,-2.245813,,Mcr Times 19 July 1834,
hustings,,election,ltblu_circle,St. Ann's Square,square,29-Jul-1837,,,St. Ann's Square,Manchester,53.4814,-2.245813,,MG 29 July 1837,
election hustings,,election,ltblu_circle,St. Ann's Square,square,01-Sep-1839,,,St. Ann's Square,Manchester,53.481649,-2.2459106,,NS 7 Sep 1839,
handloom weavers meeting to address mayor on distress,,trade union,pink_square,St. George's Fields,field,02-Jan-1840,Thursday,,St. George's Road,Manchester,53.490063,-2.229838,,Mcr times 4 jan 1840,
weavers' meeting before marching to AuL,,trade union,pink_circle,St. George's Fields,field,04-Sep-1818,Friday,afternoon,,Manchester,53.490063,-2.229838,,Wheeler's mcr chronicle 5 sep 1818,
commemoration of Peterloo,,Chartist,pink_circle,St. Peter's Fields,field,16-Aug-1838,Thursday,18:00,Peter Street,Manchester,53.477856,-2.245266,"20,000",Mcr times 20 Aug 1838,
anniversary of Peterloo,,radical,large_green,St. Peter's Fields,field,16-Aug-1822,Friday,,Peter Street,Manchester,53.477856,-2.245266,,Morn Chron 20 Aug 1822,
anniversary of Peterloo,,radical,large_green,St. Peter's Fields,field,16-Aug-1821,,,Peter Street,Manchester,53.477856,-2.245266,,,
anniversary of Peterloo,,radical,large_green,St. Peter's Fields,field,16-Aug-1820,,,Peter Street,Manchester,53.477856,-2.245266,,,
meeting of UE to raise money for O'Coigley,,radical,large_green,Star,pub,01-Jul-1797,,,Deansgate,Manchester,53.481542,-2.247862,,"Graham,Nation, vol 2, p.814",
"Robert Gray, informer,put up there",,radical,large_green,Star,pub,01-Apr-1798,,,Deansgate,Manchester,53.481542,-2.247862,,"Graham, Nation, vol 2, p.850",
birthday of Pitt,,loyal,large_blue,Star Inn,pub,01-Jun-1810,,,Deansgate,Manchester,53.481542,-2.247862,,MM 5 June 1810,http://www.images.manchester.gov.uk/web/objects/common/webmedia.php?irn=72369
Pitt club established,,loyal,large_blue,Star Inn,pub,10-Dec-1812,,,Deansgate,Manchester,53.481542,-2.247862,,"Prentice, 428",
Pitt club dinners,,loyal,large_blue,Star Inn,pub,01-Jan-1832,,,Deansgate,Manchester,53.481542,-2.247862,,Prentice,
coroners' inquest into death of John Lees,,local government,large_yellow,Star Inn,pub,13-Oct-1819,Wednesday,11:00,Deansgate,Manchester,53.481542,-2.247862,,Times 15 Oct 1819,
anti-Catholic Emancipation meeting,,loyal,large_blue,Star Inn,pub,12-Nov-1828,Wednesday,14:00,Deansgate,Manchester,53.481542,-2.247862,,Morn Chron 20 Nov 1828,
inaugural meeting of Union Club,,charity,placemark_square,Star Inn,pub,06-Apr-1825,,,Deansgate,Manchester,53.481542,-2.247862,,"Manchester Archives, M7",
establishment of Grand Orange Lodge,,Orange,orange_square,Star Inn,inn/hotel,12-Jul-1807,,,Deansgate,Manchester,53.481542,-2.247862,,,http://pubs-of-manchester.blogspot.co.uk/search/label/Star%20Hotel%20-%20Deansgate
private examination by magistrates of Rev Harrison arrested for seditious sermon,,local government,large_yellow,Star Inn,inn/hotel,12-Dec-1819,Sunday,evening,Deansgate,Manchester,53.481542,-2.247862,,Morn Chron 20 Dec 1819,
meeting to thank magistrates and boroughreeve,,loyal,large_blue,Star Inn,inn/hotel,19-Aug-1819,Thursday,,Deansgate,Manchester,53.481542,-2.247862,,Morn Chron 23 Aug 1819,
special general meeting of Orange institution,,loyal,large_blue,Star Inn,inn/hotel,28-Jan-1817,,,Deansgate,Manchester,53.481542,-2.247862,,Wheeler's MC 8 Feb 1817,
petition king on present crisis,,radical,large_green,Stevenson's Square,square,27-Nov-1834,Thursday,,Stevenson's Square,Manchester,53.48325,-2.23333,,Morning Chronicle 29 Nov 1834,
O'Connell's visit,,radical,large_green,Stevenson's Square,square,01-Sep-1835,,,Stevenson's Square,Manchester,53.48325,-2.23333,,"Preston Chronicle, 19 Sep 1835",
elect delegate to National Convention,,Chartist,pink_circle,Stevenson's Square,square,01-May-1839,Saturday,19:00,Stevenson's Square,Manchester,53.48325,-2.23333,,"NS, 11 May 1839, MG 8 May 1839",
chartists,,Chartist,pink_circle,Stevenson's Square,square,13-Jun-1839,,,Stevenson's Square,Manchester,53.48325,-2.23333,,"NS, 20 July 1839",
meet McDouall on his release,,Chartist,pink_circle,Stevenson's Square,square,17-Aug-1840,Monday,,Stevenson's Square,Manchester,53.48325,-2.23333,,Mcr Times 22 Aug 1840,
"entrance of 'liberated patriots' Richardson, Butterworth, Doyle, etc",,Chartist,pink_circle,Stevenson's Square,square,25-Dec-1840,,,Stevenson's Square,Manchester,53.48325,-2.23333,,"Northern Star, 2 Jan 1841",
ACLA meeting,,ACLA,large_purple,Stevenson's Square,square,09-Jun-1841,Wednesday,,Stevenson's Square,Manchester,53.48325,-2.23333,,"Edward Watkin, diary, mather, Chartism and Society, p.216",
Chartist meeting with O'Connor,,Chartist,pink_circle,Stevenson's Square,square,28-Sep-1841,Tuesday,,Stevenson's Square,Manchester,53.48325,-2.23333,,Mcr Times 2 Oct 1841,
ACLA/operative anti-bread tax assoc,,ACLA,large_purple,Stevenson's Square,square,21-Feb-1842,,18:00,Stevenson's Square,Manchester,53.48325,-2.23333,,"Manchester Times, 16 April 1842; HO 45/269/29",
plug strikers,,trade union,pink_square,Stevenson's Square,square,09-Aug-1842,Tuesday,,Stevenson's Square,Manchester,53.48325,-2.23333,,"Jenkins, general Strike, 91",
procession to Hunt monument opening,,Chartist,pink_circle,Stevenson's Square,square,16-Aug-1842,Tuesday,10:00,Stevenson's Square,Manchester,53.48325,-2.23333,,"trial of O'Connor, 107",
teetotallers' procession,,other,placemark_square,Stevenson's Square,square,31-May-1844,Saturday,,Stevenson's Square,Manchester,53.48325,-2.23333,,Mcr Times 8 June 1844,
unemployed,,trade union,pink_square,Stevenson's Square,square,03-Apr-1848,Monday,20:00,Stevenson's Square,Manchester,53.48325,-2.23333,,TS 11/137/374,
Chartists,,Chartist,pink_circle,Stevenson's Square,square,04-Apr-1848,Tuesday,20:00,Stevenson's Square,Manchester,53.48325,-2.23333,,"Halifax Guardian, 8 April 1848; TS 11/137/374",
Chartists,,Chartist,pink_circle,Stevenson's Square,square,08-Apr-1848,Saturday,,Stevenson's Square,Manchester,53.48325,-2.23333,,TS 11/137/374,
Chartists,,Chartist,pink_circle,Stevenson's Square,square,10-Apr-1848,Monday,,Stevenson's Square,Manchester,53.48325,-2.23333,,TS 11/137/374,
Chartists,,Chartist,pink_circle,Stevenson's Square,square,15-Apr-1848,Saturday,,Stevenson's Square,Manchester,53.48325,-2.23333,,TS 11/137/374,
Chartists,,Chartist,pink_circle,Stevenson's Square,square,15-Apr-1848,Saturday,,Stevenson's Square,Manchester,53.48325,-2.23333,,TS 11/137/374,
Chartists,,Chartist,pink_circle,Stevenson's Square,square,17-Apr-1848,Monday,,Stevenson's Square,Manchester,53.48325,-2.23333,,TS 11/137/374,
Chartists,,Chartist,pink_circle,Stevenson's Square,square,22-Apr-1848,Saturday,,Stevenson's Square,Manchester,53.48325,-2.23333,,TS 11/137/374,
Chartists,,Chartist,pink_circle,Stevenson's Square,square,18-May-1848,Thursday,,Stevenson's Square,Manchester,53.48325,-2.23333,,TS 11/137/374,
Chartists,,Chartist,pink_circle,Stevenson's Square,square,24-May-1848,Wednesday,,Stevenson's Square,Manchester,53.48325,-2.23333,,"NS 3 June 1848, TS 11/137/374",
Chartists,,Chartist,pink_circle,Stevenson's Square,square,26-May-1848,Friday,,Stevenson's Square,Manchester,53.48325,-2.23333,,TS 11/137/374,
Chartists,,Chartist,pink_circle,Stevenson's Square,square,27-May-1848,Saturday,,Stevenson's Square,Manchester,53.48325,-2.23333,,TS 11/137/374,
Chartist demonstration about Birmingham arrested,,Chartist,pink_circle,Stevenson's Square,square,13/07/1839,,,,Manchester,53.48325,-2.23333,,NS 20 July 1839,
meeting to memorialise Queen for release of Welsh Chartists,,Chartist,large_green,Stevenson's Square,square,10/02/1840,Monday,,,Manchester,53.48325,-2.23333,,NS 15 Feb 1840,
meeting of shopkeepers,,commercial,pink_starsushpin,Temperance Hall,temperance hotel,20-Apr-1848,Monday,,Jersey Street,Manchester,53.485496,-2.224101,,NS 25 April 1848,
meeting to subscribe to Hunt's defence fund,,radical,large_green,Temple of Liberty,pub,23-Mar-1834,Sunday,,24 Oldham Road,Manchester,53.485574,-2.231482,,PMG 5 April 1834,
regeneration committee,,socialist,bars,Temple of Liberty,pub,20-Apr-1834,Sunday,,24 Oldham Road,Manchester,53.485574,-2.231482,,PMG 19 April 1834,
meetings of UE regularly held,,radical,large_green,the Engine,pub,01/05/1797,,,,Manchester,53.48531,-2.229068,,"Graham,Nation, law and the king, vol 2, p.813",
O'Coigley stayed there,,radical,large_green,the Engine,pub,01/06/1797,,,,Manchester,53.48531,-2.229068,,"Graham,Nation, law and the king, vol 2, p.813",
Society of Amicable Friends dinner for king's birthday,,patriotic,blu_circle,The Griffin Inn,pub,04-Jun-1812,,,Dangerous Corner,Manchester,53.482623,-2.245477,,MM 9 June 1812,
dinner for 1688,,loyal,large_blue,the hotel,pub,05-Nov-1788,,,Mosley Street,Manchester,53.481586,-2.238442,,"Manchester Mercury, 11 November 1788",
C of E meeting against repeal of T and C acts,,loyal,large_blue,the hotel,pub,03-Feb-1790,,,Mosley Street,Manchester,53.481586,-2.238442,,"Cambrics scrapbook, p. 30",
dinner on Wellington's visit,,loyal,large_blue,Theatre Royal,theatre,13-Sep-1830,Monday,,,Manchester,53.477669,-2.246494,,M9/M1/33,
ACCL bazaar,,ACLA,large_purple,Theatre Royal,theatre,31-Jan-1842,Monday,,,Manchester,53.477669,-2.246494,,MG 26 Jan 1842,
grand Conservative dinner,,election,ltblu_circle,Theatre Royal,theatre,04/12/1832,Tuesday,20:00,,Manchester,53.477669,-2.246494,1150,Morn Post 5 Dec 1832,
meeting of journeymen cotton spinners,,trade union,pink_square,their schoolroom,schoolroom,17-Sep-1829,,,David Street,Manchester,53.476409,-2.238796,,PP 1838 q.3634,
riot against labour test,,ANPL,wht_pushpin,Tib St Workhouse,workhouse,08/03/1848,Thursday,,Tib Street,Manchester,53.484481,-2.233856,,Liv Merc 10 March 1848,
riot against labour test,,ANPL,wht_pushpin,Tib St Workhouse,workhouse,09/03/1848,Friday,,Tib Street,Manchester,53.484481,-2.233856,,Liv Merc 10 March 1848,
Chartist lecture by Mr Butterworth,,Chartist,pink_circle,Tib Street association room,own room,15/02/1841,Sunday,evening,Tib Street,Manchester,53.48347,-2.235114,,NS 20 Feb 1841,
plug rioters meeting,,trade union,pink_square,Tinker's Gardens,open space,24-Aug-1842,Wednesday,09:00,Newton Lane,Manchester,53.49367,-2.24359,500,Mcr Times 24 August 1842,
plug rioters meeting,,trade union,pink_square,Tinker's Gardens,open space,25-Aug-1842,Thursday,05:00,Newton Lane,Manchester,53.49367,-2.24359,,Mcr Times 24 August 1842,
effigy of Tom Paine hung at top of Deansgate,,loyal,large_blue,top of Deansgate,street,20-Dec-1792,Monday,,Deansgate,Manchester,53.48456,-2.24555,,MM 1 Jan 1793,
footpath preservation soc,,radical,large_green,town hall,town hall,14-Nov-1826,Wednesday,,King Street,Manchester,53.480895,-2.243721485,,"Manchester Guardian, 18 Nov. 1826",
reform,,reform,grn_circle,town hall,town hall,23-May-1827,Wednesday,,King Street,Manchester,53.480895,-2.243721485,,"Manchester Guardian, 26 May 1827",
reform,,reform,grn_circle,town hall,town hall,25-May-1827,Friday,,King Street,Manchester,53.480895,-2.243721485,,"MCL, M91/M1/33",
on rejection of corn laws bill,,ACLA,large_purple,town hall,town hall,30-Jun-1827,,,King Street,Manchester,53.480895,-2.243721485,,"MCL, M91/M1/33",
on address to HM on corn laws,,ACLA,large_purple,town hall,town hall,05-Jul-1827,,,King Street,Manchester,53.480895,-2.243721485,,"MCL, M91/M1/33",
new police act meeting,,police,large_yellow,town hall,town hall,30-Jan-1828,Wednesday,,King Street,Manchester,53.480895,-2.243721485,,"MCL, M91/M1/33",
dinner for Robert Peel,,loyal,large_blue,town hall,town hall,08-Oct-1828,,,King Street,Manchester,53.480895,-2.243721485,,M91/M1/33,
new police act meeting,,police,large_yellow,town hall,town hall,18-Nov-1829,,,King Street,Manchester,53.480895,-2.243721485,,M91/30/7,
meeting against EIC monopoly,,commercial,pink_starsushpin,town hall,town hall,21-Jan-1830,Thursday,,King Street,Manchester,53.480895,-2.243721485,,LM 23 Jan 1830,
public meeting of m and ms on distressed state of country,,local government,large_yellow,town hall,town hall,25/02/1830,Thursday,,King Street,Manchester,53.480895,-2.243721485,,M91/M1/33,
public meeting of m and ms on distressed state of country,,local government,large_yellow,town hall,town hall,14-Apr-1848,,,King Street,Manchester,53.480895,-2.243721485,,M91/M1/33,
public meeting on demise of the king,,patriotic,blu_circle,town hall,town hall,08-July-1830,,,King Street,Manchester,53.480895,-2.243721485,,M91/M1/33,
footpath preservation soc,,radical,large_green,town hall,town hall,09-Sep-1830,Thursday,,King Street,Manchester,53.480895,-2.243721485,,MG 4 Sep 1830; Mcr Times 4 Sep 1830,
preservation of the peace,,police,large_yellow,town hall,town hall,22-Dec-1830,,,King Street,Manchester,53.480895,-2.243721485,,M91/M1/33,
reform,,reform,grn_circle,town hall,town hall,20-Jan-1831,,,King Street,Manchester,53.480895,-2.243721485,,MSA 22 Jan 1831,
reform,,reform,grn_circle,town hall,town hall,09-Mar-1831,Wednesday,10:30,King Street,Manchester,53.480895,-2.243721485,,M91/M1/33,
on enlargement of Exchange,,local government,large_yellow,town hall,town hall,20-Jun-1836,,,King Street,Manchester,53.480895,-2.243721485,,M91/M1/33,
petition parl for repeal of duty on cotton wool,,ACLA,large_purple,town hall,town hall,26-Jan-1837,,,King Street,Manchester,53.480895,-2.243721485,,M91/M1/33,
police,,police,large_yellow,town hall,town hall,09-Feb-1837,Thursday,,King Street,Manchester,53.480895,-2.243721485,,M9/61/1/3,
meeting to address the queen,,radical,large_green,town hall,town hall,24-Jun-1837,Saturday,,King Street,Manchester,53.480895,-2.243721485,,Mcr times 1 July 1837,
anti-slavery reps of lancs and ches,,abolition,,town hall,town hall,12/02/1838,Monday,,King Street,Manchester,53.480895,-2.243721485,,Mcr times 1 July 1837,
operative anti-bread tax assoc/ACLA,,ACLA,large_purple,town hall,town hall,01-Jan-1842,Saturday,,King Street,Manchester,53.480895,-2.243721485,,Manchester Times 16 April 1842; HO 45/269/2,
"magistrates, committee of the town council",,local government,large_yellow,town hall,town hall,15-Aug-1842,Monday,,King Street,Manchester,53.480895,-2.243721485,,"Rose, Plug riots, 108",
ACLA,,ACLA,large_purple,town hall,town hall,01-Feb-1843,Wednesday,,King Street,Manchester,53.480895,-2.243721485,,MG 4 Feb 1843,
10 hours meeting,,10 hours,pink_square,town hall,town hall,02-Mar-1846,Monday,,King Street,Manchester,53.480895,-2.243721485,,DB/CB/27/C1/7/1,
ACLA,,ACLA,large_purple,town hall,town hall,02-Jul-1846,Thursday,,King Street,Manchester,53.480895,-2.243721485,,MG 4 July 1846,
Chartist Tea Party,,Chartist,pink_circle,town hall,town hall,18-Mar-1848,,,King Street,Manchester,53.480895,-2.243721485,,MFQ 1/440/140,
great peace meeting,,Chartist,pink_circle,town hall,town hall,03-Nov-1848,Friday,,King Street,Manchester,53.480895,-2.243721485,,richardson papers,
antislavery reps of lancs and ches,,abolition,wht_diamond,town hall,town hall,12/02/1838,Monday,,King Street,Manchester,53.480895,-2.243721485,,mcr times 17 feb 1838,
reform,,reform,grn_circle,town hall,town hall,16-May-1832,Wednesday,,King Street,Manchester,53.480895,-2.243721485,,Mcr Times 19 May 1832,
prosecution society,,local government,large_yellow,Unicorn Inn,pub,01/01/1823,,19:00,Smithy Door,Manchester,53.483632,-2.245509,,P3782,http://pubs-of-manchester.blogspot.co.uk/search/label/Unicorn%20-%20Smithy%20Door
commemoration of Peterloo,,radical,large_green,Union Rooms,own room,16-Aug-1820,Wednesday,,George Leigh Street,Manchester,53.48557,-2.22835,,LM 19 Aug 1820,
dinner for Cobbett,,radical,large_green,Union rooms,own room,29-Nov-1819,,17:00,George Leigh Street,Manchester,53.48557,-2.22835,120,Morn Chron 2 Dec 1819,
friends of Cobbett meeting,,radical,large_green,Union rooms,own room,15-Nov-1819,Monday,14:00,George Leigh Street,Manchester,53.48557,-2.22835,,morn chron 19 Nov 1819,
union schools recital,,radical,large_green,Union rooms,own room,25-Dec-1819,,,George Leigh Street,Manchester,53.48557,-2.22835,,MO 1 Jan 1820,
anniversary of Peterloo,,radical,large_green,Union rooms,own room,16-Aug-1822,Friday,,George Leigh Street,Manchester,53.48557,-2.22835,,Morn Chron 20 Aug 1822,
Blackburn female reformers attended meeting of Manchester female radicals,,radical,large_green,Union Rooms,own room,12-Jul-1819,Monday,,George Leigh Street,Manchester,53.48557,-2.22835,,Morn Post 20 July 1819,
draw up congratulatory address to Hunt,,radical,large_green,Union Rooms,own room,14/10/1822,Monday,,George Leigh Street,Manchester,53.48557,-2.22835,,Republican vol 7 p. 49,
weavers meeting,,trade union,pink_square,vacant ground near aqueduct,open space,27-Sep-1824,Monday,,Ancoats,Manchester,53.479827,-2.221878,500,MG 2 October 1824,
plug riots,,trade union,pink_square,waste ground,open space,10-Aug-1842,Wednesday,,Oxford Road,Manchester,53.474426,-2.241189,,"Jenkins, General Strike, p. 88",
powerloom weaver meeting,,trade union,pink_square,Water Works co reservoir,open space,16-Aug-1842,Friday,,Holt Town,Manchester,53.483714,-2.209689,,MG 24 August 1842,
Church and King Club,,loyal,large_blue,Weavers' Arms,pub,23-Jun-1792,,,Cockpit Hill,Manchester,53.48358,-2.243217,,"Walker, 16",
radical meeting,,radical,large_green,Wellington inn,inn/hotel,10/12/1816,Tuesday,,"Garratt, New Islington",Manchester,53.4823,-2.2233,,HO 42/168/355,
Hunt dinner,,radical,large_green,White Lion,open space,07-Apr-1831,Thursday,,Hanging Ditch,Manchester,53.484328,-2.243893,,"Bolton Chronicle, 9 April 1831",
MPU committee meeting,,reform,grn_circle,White Lion,pub,26-Oct-1830,Tuesday,,Hanging Ditch,Manchester,53.484328,-2.243893,,Mcr Times 23 Oct 1830,
Chartists,,Chartist,pink_circle,Whittaker's Temperance Hotel,temperance hotel,29/05/1848,,,Great Ancoats Street,Manchester,53.48321,-2.230209,,NS 25 April 1848,
reform bill,,reform,grn_circle,York Hotel,inn/hotel,22-Dec-1830,Wednesday,,King Street,Manchester,53.481298,-2.246966,,"Mg 25 December 1830; Watkin diaries, 126",
meeting of deputies to confer member to support the Reform bill,,reform,grn_circle,York Hotel,inn/hotel,29-Apr-1831,Friday,,King Street,Manchester,53.481298,-2.246966,,"Bolton Chronicle, 30 April 1831",
HQ of Colonel Warre,,military,wht_circle,York Hotel,inn/hotel,15-Aug-1842,Monday,,King Street,Manchester,53.481298,-2.246966,,"Rose, plug riots, 108",
ACLA prelim meeting before mass meeting next day,,ACLA,large_purple,York Hotel,inn/hotel,14-Feb-1842,Monday,,King Street,Manchester,53.481298,-2.246966,,Mcr Times 19 Feb 1842,
public meeting on railway to Oldham and Halifax,,commercial,pink_starsushpin,York Hotel,inn/hotel,14-Feb-1838,Wednesday,,King Street,Manchester,53.481298,-2.246966,,Mcr times 17 Feb 1838,
visit of Dr Bowring,,election,ltblu_circle,York Hotel,inn/hotel,18-Sep-1838,Wednesday,,King Street,Manchester,53.481298,-2.246966,,Morn Chronicle 21 Sep 1838,
ACLA,,ACLA,large_purple,York Hotel,inn/hotel,10-Jan-1839,Thursday,,King Street,Manchester,53.481298,-2.246966,,Liv Mercury 11 Jan 1839,
Mr Greg's committee room; Jos Brotherton's address,,election,ltblu_circle,York Hotel,inn/hotel,07-Sep-1839,Saturday,,King Street,Manchester,53.481298,-2.246966,,Morning Post 9 Sep 1839,
borough magistrates on preserving the peace,,local government,large_yellow,York Hotel,inn/hotel,01-May-1839,Saturday,,King Street,Manchester,53.481298,-2.246966,,Times 8 May 1839,
dinner of police to celebrate Victoria's marriage,,patriotic,blu_circle,York Hotel,inn/hotel,11-Feb-1840,Monday,,King Street,Manchester,53.481298,-2.246966,23,mcr times 15 feb 1840,
moderate reformers' meeting,,reform,grn_circle,York Hotel,inn/hotel,13/12/1831,Monday,,King Street,Manchester,53.481298,-2.246966,,"Absalom Watkin, p. 126",
meeting to form new reform association,,radical,large_green,York Hotel,inn/hotel,14/05/1832,,,King Street,Manchester,53.481298,-2.246966,,"Watkin diaries, 147",
loyal association,,loyal,large_blue,York Minster,inn/hotel,06-Dec-1792,,,Deansgate,Manchester,53.480091,-2.248603,,MM 11 Dec 1792,
loyal association,,loyal,large_blue,York Minster,inn/hotel,01-Apr-1795,,,Deansgate,Manchester,53.480091,-2.248603,,"Prentice, 426",
10 hours,,10 hours,pink_square,"plot of ground, near St Paul's church",open space,25/08/1838,,12:00,,Huddersfield,53.643715,-1.777711,,"Kydd, History of Factory movement, 142",
pro-Wardle and reform,,reform,grn_circle,Rose and Crown,pub,16/05/1809,,12:00,79 Kirkgate,Huddersfield,53.647157,-1.77943,,"WYAS Kirklees, KC 174 box 5/8",
riot in front of 'Orange committee room',,Orange,large_blue,Rose and Crown,pub,30/07/1837,,,79 Kirkgate,Huddersfield,53.647157,-1.77943,,leeds mercury 5 august 1837,
5th co-op congress,,socialist,bars,White Hart Inn,pub,08/04/1833,Monday,,Cloth Hall Street,Huddersfield,53.645861,-1.783441,,"The Crisis, vol 3, no7, 19 Oct 1833",still there
5th co-op congress,,socialist,bars,Co-op store,co-op,09/04/1833,Tuesday,,10 Westgate,Huddersfield,53.646917,-1.78313,,"The Crisis, vol 3, no7, 19 Oct 1833",
5th co-op congress,,socialist,bars,Back Green,field,09/04/1833,Tuesday,15:00,,Huddersfield,53.641656,-1.784605,,"The Crisis, vol 3, no7, 19 Oct 1833",
anti-NPL riot,,ANPL,wht_pushpin,Philosophical Hall,institution,01/11/1838,Monday,,Ramsden Street,Huddersfield,53.644341,-1.781708,,"Times, 24 Nov 1838",http://www.huddersfieldhistory.org.uk/wp-content/uploads/2011/10/before-the-town-hall.pdf
Busfeild Ferrand visit,,election,ltblu_circle,Philosophical Hall,institution,28/01/1846,Saturday,,Ramsden Street,Huddersfield,53.644341,-1.781708,,"?, 4 Feb 1846",http://www.huddersfieldhistory.org.uk/wp-content/uploads/2011/10/before-the-town-hall.pdf
abolition of Corn Laws,,ACLA,large_purple,Philosophical Hall,institution,01/02/1846,Tuesday,,Ramsden Street,Huddersfield,53.644341,-1.781708,,"?, 9 Feb 1846",http://www.huddersfieldhistory.org.uk/wp-content/uploads/2011/10/before-the-town-hall.pdf
committee to appoint delegate to meeting at Yew Tree Inn,,radical,large_green,"General News Rooms, Pack Horse Yard",newsroom,01/09/1838,,,Pack Horse Yard,Huddersfield,53.646284,-1.781434,,NS 22 Sep 1838,
meeting in support of William Cartwright,,local government,large_yellow,"Yew Tree Inn, Roberttown",inn/hotel,17/05/1813,,,Roberttown,Huddersfield,53.699567,-1.695702,,http://ludditebicentenary.blogspot.co.uk/2013/05/17th-may-1813-meeting-at-yew-tree-inn.html,
10 hours,,10 hours,pink_square,market place,market,18/06/1833,Tuesday,19:00,,Huddersfield,53.646809,-1.782451,,PMG 29 june 1833,
NPL board of guardians - radical opp,,ANPL,wht_pushpin,Druids' Hotel,inn/hotel,05/06/1837,,,Temple Street,Huddersfield,53.647318,-1.784825,10000,"NPL, 151",
NPL board of guardians - radical opp,,ANPL,wht_pushpin,Albion Inn,inn/hotel,05/06/1837,,,Buxton Road,Huddersfield,53.64368,-1.784146,10000,"NPL, 152",
NPL board of guardians - radical opp,,ANPL,wht_pushpin,Albion Inn,inn/hotel,15/07/1837,,,Buxton Road,Huddersfield,53.64368,-1.784146,,"NPL, 159",
radical,,radical,large_green,Fixby Park,open space,17/08/1819,Tuesday,,Fixby Park,Huddersfield,53.667054,-1.795748,,,
reform,,reform,grn_circle,Court House,court house,07/03/1831,Monday,,,Huddersfield,53.644529,-1.780097,,HHE 12 March 1831,
nomination of election candidates,,election,ltblu_circle,in front of court house,street,01/01/1834,,,,Huddersfield,53.644529,-1.780097,,HHE 8 Jan 1834,
anti EIC monopoly,,commercial,large_purple,Court House,court house,17/02/1830,Wednesday,,,Huddersfield,53.644529,-1.780097,,LM 20 Feb 1830,
reform petition,,reform,grn_circle,Court House,court house,07/03/1831,Monday,,,Huddersfield,53.644529,-1.780097,,HHE 5 March 1831,
petition lords on reform,,reform,grn_circle,Court House,court house,30/09/1831,Thursday,,,Huddersfield,53.644529,-1.780097,,"Halifax and Huddersfield Express, 1 Oct 1831",
nomination of election candidates,,election,ltblu_circle,in front of the Court House,street,01/01/1834,,,,Huddersfield,53.644529,-1.780097,,HHE 8 Jan 1834,
board of guardians meeting - crowd outside,,ANPL,wht_pushpin,Court House,court house,22/02/1838,,,,Huddersfield,53.644529,-1.780097,,"antiNPL, 181",
meeting to subscribe for William Cartwright,,loyal,large_blue,"Yew Tree Inn, Roberttown",pub,06/09/1813,Monday,,,Huddersfield,53.699567,-1.695702,,LM 16 April 1814,
meeting to subscribe for William Cartwright,,loyal,large_blue,"Yew Tree Inn, Roberttown",pub,25/04/1814,Monday,10:00,,Huddersfield,53.699567,-1.695702,,LM 16 April 1814,
meeting of merchants to repeal stamp laws,,commercial,large_purple,"Yew Tree Inn, Roberttown",pub,03/05/1819,Monday,,,Huddersfield,53.699567,-1.695702,,LM 8 May 1819,
general meeting of principal inhabs on prosecution society,,local government,large_yellow,"Yew Tree Inn, Roberttown",pub,24/06/1819,,19:00,,Huddersfield,53.699567,-1.695702,,KC 120/1,
meeting to form volunteer force for protection of law and property of the Country,,local government,large_yellow,"Yew Tree Inn, Roberttown",pub,22/11/1819,Monday,,,Huddersfield,53.699567,-1.695702,,WYL 250/6/2/box 2,
meeting to form volunteer force for protection of law and property of the Country,,local government,large_yellow,"Yew Tree Inn, Roberttown",pub,06/12/1819,,,,Huddersfield,53.699567,-1.695702,,WYL 250/6/2/box 2,
meeting of magistrates and manufacturers,,commercial,large_purple,"Yew Tree Inn, Roberttown",pub,15/12/1819,,,,Huddersfield,53.699567,-1.695702,,WYL 250/6/2/box 2,
prosecution society anniversary dinner,,local government,large_yellow,"Yew Tree Inn, Roberttown",pub,12/04/1820,,,,Huddersfield,53.699567,-1.695702,,KC 120/1,
meeting to form memorial to restore Stocks to magistracy,,radical,large_green,"Yew Tree Inn, Roberttown",pub,11/11/1830,Thursday,14:00,,Huddersfield,53.699567,-1.695702,,LM 13 Nov 1830,
short time,,10 hours,pink_square,"Yew Tree Inn, Roberttown",pub,24/06/1833,,,,Huddersfield,53.699567,-1.695702,,"Halifax Guardian, 29 June 1833",
Liversedge prosecution society 3rd annual meeting,,local government,large_yellow,"Yew Tree Inn, Roberttown",pub,03/05/1837,Wednesday,,,Huddersfield,53.699567,-1.695702,,LM 13 May 1837,
opposition to NPL procession to Peep Green,,ANPL,wht_pushpin,"Yew Tree Inn, Roberttown",pub,16/05/1837,Tuesday,,,Huddersfield,53.699567,-1.695702,,LM 20 May 1837,
